trial,value,num_leaves,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_samples,reg_lambda,reg_alpha
30,0.5635942962877383,137,5,0.014276991463580697,295,0.6467844720225798,0.5697445232319935,63,0.04695814241324569,0.5879452036050133
31,0.5629168089574211,129,4,0.014851384655607591,252,0.604677885820147,0.6233530359526698,77,0.08365731647253552,0.38001445511151194
32,0.5628860417290283,94,4,0.010132264768508682,367,0.6091095870472817,0.5391467982171032,75,0.027673347615574183,0.7409746792391464
33,0.5624064370606472,137,4,0.010615711744277384,323,0.641138469964408,0.43021017737784506,48,0.06187069381695322,0.06315236188608457
34,0.564960315028254,110,5,0.013716882394061955,322,0.6027133627000372,0.50127314909233,64,0.02773983725582202,4.448860840435168
35,0.5649816512850846,104,4,0.015567482014986886,414,0.6335644085189769,0.544492446584567,53,0.14347199570983876,0.7765886358703217
36,0.5646803732479747,106,4,0.016950306421683044,475,0.6682578122697723,0.4746894622853707,68,0.4114391746527908,3.8509824258993866
37,0.5651528072346979,109,5,0.013296457657945765,413,0.6293791299537997,0.45277496743600854,70,0.0064860898058635525,1.7623154289494862
38,0.564885509231906,91,4,0.015477399329949841,425,0.6773530899601258,0.4619045933644982,43,0.7539095410263013,2.3919375257507176
39,0.562809982101384,107,5,0.01173890770957019,326,0.6965755087453549,0.46864369763476,76,0.02345291713626576,1.6117695519489528
40,0.5654462534500059,109,4,0.014047243972849085,397,0.6245029064755627,0.5595925676369506,61,0.0273511159455852,2.5376210857765544
41,0.5661734767403137,110,4,0.013653428773360891,415,0.6042877235469927,0.5022178990056269,56,0.004370204458998168,3.6525304926569206
42,0.564673295375106,127,4,0.011834030325421671,378,0.6114702986392976,0.4607509757342224,49,0.02696774063003805,3.4212750179909612
43,0.5637979108284799,85,5,0.015146589664601242,428,0.6192722927175072,0.47704480862033316,50,0.01114134959903086,1.286627554932371
44,0.5645274835955701,99,4,0.020656449335351025,467,0.6257947804160815,0.4796821562822747,51,0.0049415521097918155,3.358228680128456
45,0.5652190709810713,117,5,0.015129455194781899,410,0.6222455168110897,0.5457765208148626,49,0.00444210092892745,3.9510655269886983
46,0.5636554287569301,106,4,0.015396808606396924,351,0.6430709339806413,0.41098985476628286,54,0.003248158429456362,1.5794027710439933
47,0.5635813020608508,109,5,0.019156358286204163,361,0.630844736601302,0.6020357122726075,55,0.012237876735305778,2.3284559629875003
48,0.5655450404318917,111,4,0.012202058248358029,405,0.669675054922923,0.5142347452565905,46,0.012212834311718301,4.165393559950766
49,0.5634529421347879,110,6,0.012656735247614492,296,0.6737394297726886,0.5577547348964287,44,0.012769725666779317,4.901452929715568
50,0.56541053666876,124,4,0.01337653738876742,456,0.6355603896243288,0.5830930975947726,62,0.029230470560498836,2.9111566026535733
51,0.564641661455974,102,4,0.01903245166947376,412,0.6375752204377062,0.4979464871002116,72,0.008335601776002288,4.1285850361724075
52,0.5628292567150445,108,5,0.01807726912194195,427,0.6684467117475598,0.5597024364740445,61,0.01856160949981071,1.782345875971734
53,0.5650826099451761,108,4,0.012784863910818166,476,0.6386741076794192,0.4697072040810327,47,0.035579250774337545,2.8654932436191625
54,0.5638871672654167,118,5,0.012150836532444647,338,0.628237933843617,0.49379781357533653,72,0.0043677353411610215,1.9505345450170075
55,0.5640309789873684,110,4,0.018591893625814596,473,0.6468125264322538,0.5578167038327767,66,0.032540283574910144,4.39913624051198
